document_id,clean_text,sentiment
60,recently rihanna call police house due man breaking think let u know contact rsquare benefit bazooka forcefield amp halo schedule discovery call learn,positive
61,police take action house man south carolina arrived thursday hoping propose marriage,positive
62,cop swarm rihanna house man show propose happening march rd security official told tmz man traveled south carolina walked rihanna home thursday faced security police released,positive
63,year old man traveled south carolina ask hand marriage almost immediately greeted security arrived singer beverly hill residence read,positive
64,police called rihanna house man travelled south carolina propose tmz,neutral
65,cop called house man show propose perpetrator traveled south carolina walked rihanna home immediately greeted security later determined broken law though asked leave told return,negative
66,hi released mixset song year artist like amp hopeulikethismin mixset,positive
67,rihanna performed lift black panther wakanda forever also best original song dedicated award chadwick boseman said inspired better artist,positive
68,khalistanis always remember picture last came india afghanistan canada uk australia u tweeted single word support people,positive
69,phuck yo need picture oscar superbowl,neutral
70,rihanna lift black panther wakanda forever music inspired climbed place th place rd,positive
71,rihanna lift black panther wakanda forever music inspired gone place th place th,positive
72,wonder propose breakaway amp india may b must explain b civil war like one get support entire community speak,positive
73,gang grandma upset tell tv,negative
74,dj supasmash vault searching feat,neutral
75,post clip grandma saying tell apart confirmation,neutral
76,best song album opinion pon replay so disturbia te amo man found love diamond love brain,positive
77,rihanna lift black panther wakanda forever music inspired climbed place nd place st,positive
78,producer explains harder joke smith slap saga cut ceremony please follow show support,positive
79,ever since first performance superbowl year enough watching great performance past year,positive
80,rihanna performance oscar second performance came back stage performance made everyone feel emotional kind feel,positive
81,tbh higher rihanna longer,neutral
82,official pti source plz tweet imran khan reached judicial complex police stopping attend court hearing using shell car tag international medium outlet,positive
83,earlier month rebelle fragrance mist yes forgot much love yes yummy dry second time pairing mist together good rich amp warm,positive
84,streaming song unapologetic album diamond,positive
85,bro law like talented really want buy piece entire series gorge,positive
86,popular music u degenerated remarkable extent anything remotely progressive come artist jay z rihanna embraced capitalism arm,positive
87,rihanna spotted wearing annoushka charm bracelet ap rocky tap read,positive
88,march girl soooooooo well guest may go album,positive
89,ahead season check favorite release date many,positive
90,guarda rihanna unapologetic cd italy su,neutral
91,today pour luscious french roast code ft first whole bean ground order,neutral
92,mar rebelle midnight amber glow rebelle fav perfume underrated love coffee amp cacao note ginger add touch spice amber add warmth musk smooth making sexy fragrance,positive
93,rihanna lift black panther wakanda forever via love song,positive
94,song hit telugu language film made history becoming first indian film song win track best original song th academy beating heavyweight like,positive
95,song week consistency diamond rihanna super bowl performance another reminder great discography listen,positive
96,got paid super bowl artist make money exposure get live watching million audience rihanna got increase stream made profit increase brand reputation fenti beauty,positive
97,one standout moment oscar award dazzling pregnant rihanna stage performed oscar nominated song lift black panther wakada forever los angeles california,positive
98,rihanna lift live oscar via,neutral
99,propaganda people fake idol,negative
100,quick amp easy skin bleaching transformation black woman looking far light skin amp mixed race appearance using professional skin bleaching lotion,positive
101,performed lift black panther wakanda forever ceremony kevin winter via afp check biggest moment,neutral
102,wall street journal super bare style favored star continued dominance sunday academy,positive
103,inspired music rihanna lift live oscar via,positive
104,rihanna glowing red carpet stage sings hit single lift black panther wakanda forever box office smash,neutral
105,rrr song singer share celebratory photo pose barbadian pop queen,positive
106,rihanna performing lift live th oscar,neutral
107,naatu naatu trio kaala bhairava rahul sipligunj prem rakshith bumped queen rihanna academy award hold back sharing joy meeting tbh fangirling,positive
108,nominated best original song category single,positive
109,nominated best original song category single,positive
110,best beauty look,positive
111,que hermoso e este tema rihanna lift live oscar,neutral
112,watch perform lift black panther wakanda forever nominated best original song th academy award,positive
113,black woman looking mixed race amp light skin using strong professional strength bleaching lotion,positive
114,black panther wakanda forever via,neutral
115,rihanna lift live oscar via vues mar rihanna performing lift live th oscar stream download lift,neutral
116,unmissable moment get,neutral
117,performance,neutral
118,hello everyone posted m youtube channel rihanna lift live oscar,neutral
119,oscar performance via,neutral
120,mood walk away drama started jet vanity fair joe goldberg,positive
121,love proudly cheering thrilled audience performance nominated track soundtrack fashionista power couple,positive
122,performance plus set,neutral
123,stunning look red carpet,positive
124,love performance gorgeous moment live oscar via,positive
125,viral dance song make history first song film win best original song beat heavyweight snag prize news,positive
126,performance,neutral
127,winner th academy award main film night everything everywhere click link info,positive
128,mesh outfit risqu black outfit favourite look sported female star,neutral
129,rihanna daniel hottest look oscar champagne carpet,positive
130,delivering uplifting performance oscar nominated song soared first performance amp shut house held,neutral
131,cate blanchett check best look red carpet,positive
132,rihanna asap rocky babyyy used makeup tinsel quartz filter airbrush app,neutral
133,music motherhood rihanna red carpet reign continues pregnant star set fashion bar high oscar,neutral
134,solo necesitamos tu amor rihanna lift live oscar v,positive
135,took stage sing oscar nominated song black panther wakanda forever also opted sparkling ensemble custom made famous,positive
136,attempt find rare success potentially acquired uplifted big player like w many celebrity brand shifting makeup skincare,positive
137,guarda unapologetic cd italy su,neutral
138,see best dressed last night,positive
139,joked gave incredible performance big highlight th,positive
140,best beauty look,positive
141,see best dressed last night,positive
142,rihanna lift black panther wakanda forever min sec rihanna oct directed autumn durald arkapaw edited andrew hegele,neutral
143,celebrate international woman month kandy celebrate month two hip hop queen amp hip hop beat drink ticket booking fee miss,positive
144,music star robyn fenty aka rihanna showed baby bump oscar red carpet song lift black panther wakanda forever nominated best original song,positive
145,trending lady stabbed time boyfriend dumping man say sponsored lady education let another man take away,negative
146,beating amp great achievement achieved filmmaker amp artist around world wanted get got trophy award also lot love amp blessing audience world congo,positive
147,queen arrived rihanna take stage oscar electrifying performance lift black panther wakanda forever,neutral
148,congratulation oscar best dressed celebrity oscar red carpet,positive
149,obi datti pcc said sunday back planned nationwide protest unless independent national electoral commission grant lp lawyer access material february presidential election,positive
150,apart performed really surprise u stunning performance hint performance waiting,positive
151,viral dance song naatunaatu made oscar history sunday first song indian film win academy award best original song besting heavyweight snag prize,positive
152,oscar best dressed celebrity oscar red carpet read,positive
153,rihanna ft tems lift black panther wakanda forever loses oscar award best original song naatu naatu rrr tems ebuka,positive
154,viral dance song naatu naatu made oscar history sunday first song indian film win academy award best original song besting heavyweight lady gaga rihanna snag prize,positive
155,famous red carpet may changed champagne star brought glamour style hollywood biggest night,positive
156,oscar go naked dress revealing hit red carpet style super bare style favored star lady gaga rihanna ashley graham continued dominance sunday academy award anything go party,positive
157,song bb telugu language film made history becoming first indian film song win blockbuster track best original song th academy award beating heavyweight like,positive
158,rihanna also sang ceremony performing lift black panther wakanda forever alaia outfit leather strap train sheer mesh showing baby bump,neutral
159,something riri bottega history book,neutral
160,proudly cheer enchants audience moving oscar performance nominated track soundtrack,positive
161,news said remaining asset billion industry recovery fund converted native cryptocurrencies,positive
162,see red carpet look th academy award click,positive
163,despite low rating oscar ceremony back new crisis team several blockbuster nominated performance oscar nominated song black panther wakanda forever bring viewer,positive
164,make history win receive competing becomes first ever song win prestigious honour,positive
165,oscar rihanna ram charan best red carpet look award,positive
166,oscar champagne carpet sparkling hollywood glamour star made show stopping appearance stunning ala piece sheer black dress fresh versace runway,positive
167,performed lift black panther wakanda forever ceremony kevin winter via afp check biggest moment,neutral
168,take stage perform lift black panther wakanda forever,neutral
169,tribute chadwick boseman rihanna performed lift black panther wakanda forever soundtrack,neutral
170,rihanna lift black panther wakanda forever music inspired moved place th place th,positive
171,created history became first song indian production win song left behind music sensation competed song like applause hold hand lift life,positive
172,field full heavy hitter amp rrr see video song best original song becoming st ever song indian film win prize see list winner,positive
173,made history becoming first indian film song win oscar blockbuster track best original song th academy award beating heavyweight like,positive
174,month work dance step day dancer crew member later get naatu fied beating category,negative
175,oscar great gorgeous sang thang happy night truly also little kid oscar,positive
176,delivered superb performance lift black panther wakanda forever rihanna interpr te lift du film black panther wakanda forever lors de la e c r monie de oscar,positive
177,rihanna gave stunning performance lift black panther wakanda forever,positive
178,month work dance step day dancer crew member later get naatu fied beating category,negative
179,ap rocky cheer performs black panther wakanda forever view pic,positive
180,win best song oscar song original song telugu movie india original song remake rip original rock,positive
181,barbadian singer songwriter actress rihanna performs lift black panther wakanda forever onstage th annual academy award dolby theatre hollywood california march,positive
182,queen rihanna glowing beauty pregnant great talent excellence performance well done queen riri,positive
183,star attending oscar disappoint sheer baby bump moment pda husband could get enough antic see iconic look,negative
184,champagne carpet sparkled hollywood glamour bump baring alaia column dress armani prive sheer black dress versace see best dressed star,positive
185,thing needed see tonight,neutral
186,rihanna performance lift black panther wakanda forever th oscar received standing ovation,neutral
187,obsessed really made ala dress look effortlessly sexy make mistake much effort countless people make happen,positive
188,bit upset naatu naatu banger win oscar best original song entry,positive
189,ever stop talking gorgeousness probably went custom ala custom maison margiela designed john galliano whew,positive
190,performs lift film black panther wakanda forever presented,neutral
191,got first best song oscar nomination lift black panther,positive
192,performed song lift black panther wakanda forever sunday night showed baby bump performance well,positive
193,rihanna performs lift black panther wakanda forever tribute late actor chadwick boseman,neutral
194,go big go home belt best song nominee lift black panther wakanda forever w help orchestra backup singer another memorable performance,positive
195,giving u voice face look year performing song lift film,positive
196,epic performance,neutral
197,propaganda people fake idol,negative
198,super bowl stay working,positive
199,goddess vibe performs lift,neutral
200,propaganda people fake idol,negative
201,black excellence throughout performance background singer black orchestra love,positive
202,performs mellow performance compared,neutral
203,heartbreaking performance,negative
204,wow amazing performance lift rihanna,positive
205,great performance,positive
206,performs lift live update,neutral
207,look amazing outfit sound even better beautiful memoriam chadwick boseman personal place may say fuck cancer,positive
208,memory chadwick boseman heartfelt rendition lift rihanna,positive
209,goddess another planet ya lo dicho,neutral
210,danai gurira pay tribute late chadwick boseman introduces best original song nominee lift black panther wakanda forever performed,positive
211,powerful performance lift nominated best song,positive
212,ooo love song didnt realize movie,positive
213,performance one night thought saving money car payment month way feel good,positive
214,welllll saw old friend red carpet break hiatus music,positive
215,oh coming next perform let check spicy chicken sandwich oven chomp grub taking break cooking tonight cause,neutral
216,nile river egypt retired music,neutral
217,rihanna singer mother perfect woman used hair bang blunt leaf filter airbrush app,positive
218,addition white always lot black dress carpet one mama truly stood apart carpet crowd talking course,positive
219,oscar photo rihanna red carpet,neutral
220,little profile action stunning icon,positive
221,baby performing song,neutral
222,rihanna lift black panther wakanda forever music inspired moved place th place th,positive
223,quote,neutral
224,pop music taking maroon rihanna dua lipa justin bieber ed sheeran ava max ariana grande something everyone let dance sing along biggest hit year takeover uk,neutral
225,ahead performance nidhi gupta look evolution pop culture viewed celebrity maternity shocking cover rihanna performance reveal read,negative
226,expect awaited th academy award,positive
227,oscar performance rihanna eagerly awaited fan,positive
228,host presenting performance th,neutral
229,rihanna multi incone sector money music,neutral
230,nominated lift discus history song sings sequel lift quick success,positive
231,full super bowl halftime show inside stadium,positive
232,get ready experience ultimate takeover hit song fashion youtube video discover rihanna unstoppable force music industry miss,positive
233,bracket challenge contains gem watch see pick best original song,positive
234,rihanna walmart,neutral
235,rank album favorite one like least year old loved work talent sharing love loud anti gggb talk talk rather r unapologetic girl like music sun,positive
236,need removed extremely toxic ignorant meme,negative
237,rihanna guitarist band extreme,neutral
238,somebody said saw post song nowhere made think always say nowhere go christopher robyn yup nowhere christopher robyn go god best,positive
239,heard rihanna gave chris brown herpes got herpes jay z mean queen bey whatever call herpes,neutral
240,celebrate international woman day created picturebook artist find inspirational created item stock must add,positive
241,swaying side side minimal effort icon like make become viral dance trend,positive
242,rihanna lift black panther wakanda forever music inspired moved place th place th,positive
243,march th th academy award world star compete best movie song lady gaga hold hand top gun maverick amp lift black panther wakanda forever superstar w lot common also difference,positive
244,think new wax figure,neutral
245,black woman came black woman gonna give birth black woman rihanna,neutral
246,amp still friend revisited pop star bffs friendship rihanna super bowl shoutout katy,positive
247,dora martin sue evans opening access hollywood flower received,neutral
248,get one week nail,neutral
249,rihanna lift black panther wakanda forever music inspired climbed place rd place nd,positive
250,universe filter art fan edits made would share guy,positive
251,year ago today released birthday cake remix featuring th single talk talk album released single australia europe march,neutral
252,year old hitmaker spending quality time child ap rocky photograph post later showed music video song raise,neutral
253,see get prime minister mia mottley cooking tried hit angry black woman lable none,negative
254,rihanna lift black panther wakanda forever music inspired climbed place th place th,positive
255,rihanna monthly listener surpassing rihanna fucking icon album release since still everyone ear next time call someone music industry look see rihanna status,neutral
256,rihanna lift black panther wakanda forever music inspired gone place th place th,positive
257,earlier week reb l fleur prismatic star used see lot fragrance combo w reb l fleur amp tried lot one favorite pairing w reb l fleur love good plum amp berry note,positive
258,spotify dominated woman,neutral
259,thing fight alot important shxt brothas platform need concentrating community aside wtf gotdamn mag cover,negative
260,dress possibly compared u kidding dress make bella beauty amp beast cry mercy beyonce keep eating jello,positive
261,putting together similar outfit faux leather legging amp coat vintage biggest style inspiration amp,positive
262,besides showing dance move rihanna also showed u marketing strategy year super bowl three thing every company take away superstar business woman,positive
263,yay whole music video thought girl floating,positive
264,motivation confidence come celebrating get win,positive
265,rihanna lift black panther wakanda forever music inspired moved place th place th,positive
266,rihanna lift black panther wakanda forever music inspired moved place th place th,positive
267,rihanna super bowl show help steal momentum rrr oscar best song race via,positive
268,love art collectible also excited adoption space recently released nfts w royalty right incl copyright amp streaming right master recording,positive
269,rihanna lift black panther wakanda forever music inspired fallen place th place th,positive
270,rihanna lift black panther wakanda forever music inspired moved place th place th,positive
271,rihanna lift black panther wakanda forever via black panther wakanda forever,neutral
272,rihanna wore diamond earring ear cuff messika jewelry performance,positive
273,repost rihanna announces return fenty x puma,neutral
274,baby far beautiful,positive
275,get ufffffff,neutral
276,rude peach,negative
277,nominated song trending throughout day live performance announcement broke internet amp quadrupled number view similar announcement lift hour,negative
278,rihanna lift black panther wakanda forever love song,positive
279,big game year might passed still lot learn half time performer rihanna check three thing take away marketing strategy,neutral
280,music superstar rihanna perform oscar nominated song lift black panther wakanda forever th oscar executive producer showrunners glenn wei ricky kirshner announced thursday,neutral
281,perform song lift soundtrack black panther wakanda forever tap link bio visit,neutral
282,currently influence singer instagram blackpink,neutral
283,rihanna sledgehammer motion picture star trek beyond via sledgehammer motion picture star trek beyond,neutral
284,obvs always worth listen want sentence want today new deal really well explained politics rep,positive
285,recognition sharing quote prominent figure black history like singer businesswoman fashion designer billionaire founder fashion house fenty amp first black woman head luxury brand lvmh,positive
286,cut casual figure ap rocky jet home milan fw son baba btc x eth x bnb x aapl tsla spy djia qqq goog meta amzn nflx,negative
287,motion picture art science academy announced thursday rihanna would perform lift marvel black panther wakanda forever oscar presentation march,positive
288,inspiring single black panther soundtrack one many performance move audience,positive
289,feb coll concert music compilation rihanna song video,neutral
290,styled wear piece s unboxing collection march issue photography inez amp vindooh,neutral
291,asked stop wearing fur letter please spare daily mail online listen rihanna supporting fur industry,positive
292,interest reading divorcing dis racist underpinnings,negative
293,epic performance major controversy ranked every ever take look land,neutral
294,path becoming collection etsy shop spiral notebook ruled line page mouse pad coffee mug tote bag,neutral
295,halftime show drew hundred complaint pretty sure white christian conservative one complainant say outrage super bowl supposed family show love football,positive
296,dance changed dance learned new dance studio also maybe trend,neutral
297,producer telecast said thursday music superstar sing lift black panther wakanda forever,neutral
298,rihanna lift black panther wakanda forever music inspired moved place st place st,positive
299,icymi perform oscar nominated song lift black panther wakanda forever th oscar sunday march th exec producer showrunners glenn wei ricky kirshner announced friday,neutral
300,time so hit spot billboard hot rihanna showed label one hit wonder budget label deal samsung queen,neutral
301,rihanna handling live say lack vocal pfff anyways rihanna queen,negative
302,nobody tell voice cuz fuck yeah amp know,negative
303,rihanna gifted faux fur coat peta appearing wear real fur coat,neutral
304,bgalririh fan dont presume anything gal still deliver new music preggo new stuff around corner,positive
305,lesson super bowl halftime show,positive
306,rihanna mv dancing ditto new jean,neutral
307,rihanna perform lift black panther wakanda forever oscar full press release,neutral
308,rihanna pon de replay ross friend edit,positive
309,hit stage performance song lift black panther wakanda forever soundtrack,neutral
310,spur weirdly specific fcc indecency complaint billboard complaint care people turn tv remove kid room like came unexpectedly,positive
311,week removed super bowl performance ready hit stage time march perform somber lift marvel forever,positive
312,year ago today released towards sun theme song home motion picture soundtrack february,neutral
313,hollywood critic association award take place today beverly hill sag award take place sunday feb oscar take place march perform nominated song lift,positive
314,rihanna perform lift black panther wakanda forever oscar via,neutral
315,rihanna take stage oscar expect iconic performance,neutral
316,breaking rihanna announced perform lift year,neutral
317,rihanna lift black panther wakanda forever via lift,neutral
318,rihanna lift black panther wakanda forever music inspired gone place th place th,positive
319,perform oscar nominated song lift black panther wakanda forever th academy award ceremony,positive
320,expecting new music like expecting new music michael jackson,positive
321,academy motion picture art science announced music superstar rihanna perform oscar nominated song lift black panther wakanda forever th osc,neutral
322,follow soaring super bowl halftime show performance producer telecast said music superstar sing,positive
323,superstar perform nominated song th academy award ceremony,positive
324,perform oscar nominated song lift black panther wakanda forever th oscar held sunday march dolby theatre ovation hollywood,neutral
325,among competitor face nominated hold hand top gun maverick,positive
326,singing march let hope brings dancer,positive
327,learn creation favorite artist song creator read letter love fan music like artist like show,positive
328,back perform lift oscar nominated song black panther wakanda forever star studded award show march,positive
329,news music front rihanna perform song lift academy award march th film black panther wakanda forever one five song nominated oscar year,positive
330,repost rihanna perform oscar,neutral
331,perform oscar nominated song lift wakanda forever march getty,neutral
332,perform oscar nominated song lift wakanda forever march getty,neutral
333,super bowl performance rihanna sing oscar nominated tune lift black panther wakanda forever th annual academy award,positive
334,official giving u amazing performance last week sing oscar nominated song lift movie wakanda forever year,positive
335,producer telecast said thursday music superstar sing lift black panther wakanda forever,neutral
336,rihanna coming oscar superstar perform nominated song lift,neutral
337,announced perform oscar nominated single lift black panther wakanda forever th academy award march,positive
338,rihanna perform lift black panther wakanda forever year,neutral
339,announced perform oscar nominated song lift black panther wakanda forever th oscar sunday march live coverage begin pm et pm pt photo evan agostini invision ap file,neutral
340,hatred jew genocide people rape kill steal innocent people everyday stop guarantee continue,negative
341,win roll red carpet breaking best original song nominee song fight including work amp tsftm feed,positive
342,dad found second pregnancy like rih rih dad said daughter pregnancy reveal surprised despite flying barbados arizona watch halftime show,positive
343,time started rule music industry,neutral
344,made post support got superbowl genuine place modesty patriarchal need favor pregnant woman wish feminist would understand pregnant woman enjoy certain privilege childfree woman enjoy,positive
345,guarda unapologetic italy su,neutral
346,j vois ce passage de la chor de au devenir viral sur le r seaux sociaux il un nom ce mouvement parce que perso je l appelle le chasing dick away as,negative
347,chart topping music hit groundbreaking beauty line fenty beauty rihanna amassed phenomenal net worth,positive
348,new era begin nothing ever fresh super bowl special announcement rihanna british vogue phenomenal march cover star ordinary cover,negative
349,ring th birthday style pregnant singer pic party go viral,positive
350,multi million dollar beauty brand derives real last name,positive
351,rated r stan favourite album one time faves photo last girl earth tour taken blackberry may th belfast nearly year ago saw fire bomb live experience,negative
352,rihanna look beautiful siren makeup airbrush app,positive
353,billion grant fidelity charitable break record,positive
354,royal family hip hop dance troupe melanin get gig dancing hard af dancer got answer,negative
355,inside rihanna ap rocky road parenthood friend growing family,positive
356,inside rihanna ap rocky road parenthood friend growing family,positive
357,inside rihanna ap rocky road parenthood friend growing family,positive
358,riri actually somali,neutral
359,people gonna talk whether bad good rihanna queen whole damn empire music fashion beauty conquering world one slay time,positive
360,caused firestorm social medium cover decided drop minute episode straight black man perspective,negative
361,happy birthday queen keep blowing candle end much love explore enjoy,positive
362,celebrate legend rihanna special day learning success get hand ebook creating v g e brand take first step towards building successful empire purchase,positive
363,one important thing okoye used fenty mean canon rihanna mcu,positive
364,rihanna originally,neutral
365,guarda unapologetic cd italy su,neutral
366,removed clip symbolism,neutral
367,super breakdown show lesson brand gt business result gu carlson rarely non cmo articulate perfectly thank gu u true definition valuation yo,positive
368,anyone spend million dollar ring many world starving fire wearing million worth blood gem myanmar activist say sale gem support junta war crime crime humanity,negative
369,anyone already receive anti vinyl imusic,negative
370,happy birthday one diverse superstar alluring fan around world including clip greatest hit exclusive interview docu must see rihanna fan,positive
371,happy birthday one successful influential icon lot love india,positive
372,happy birthday thee icon legend muva favorite song,positive
373,even two month queen bey broke record th platinum plaque rihanna swoop outshines fan favorite last album,positive
374,walking birth experience described beautiful revealed helper discharged hospital via,positive
375,walking birth experience described beautiful revealed helper discharged hospital,positive
376,good share check item loving,positive
377,amp revealed reaction photo show deeply pathetic people hope laughing ass insecurity amp anger generated photo,negative
378,top song loud album mine california king bed man amp,positive
379,million view tiktok wish could back dancer someday philippine goinggg insane super bowl halftime performance cover,positive
380,still obsessing custom chief x rihanna super bowl sweatshirt last weekend,positive
381,woman dy falling disneyland parking lot police say,negative
382,wore red jacob amp co watch adorned diamond tribute song diamond grossed brand million already unfortunately income earring company wearing minute,positive
383,look back money rihanna made super bowl without forgetting brand worked earned rihanna fenty beauty already million revenue thanks second makeup sequence,positive
384,tried real estate figuring would able make money using show totally cracked started hearing voice end hill,neutral
385,rihanna kept pregnancy secret even dad avoid news leak super bowl,positive
386,wearing burmese led outcry opposed myanmar brutal military junta read,negative
387,know helper discharged hospital via,positive
388,know helper discharged hospital,positive
389,walking birth experience described beautiful revealed helper discharged hospital came home cold turkey one u parent baby,positive
390,rihanna superbowl halftime show st personal illustration year,neutral
391,congratulates performance pregnancy taking time away social medium,neutral
392,glorilla call rihanna twin likened singer,neutral
393,taking anything away rihanna dancer ate made show,neutral
394,guarda unapologetic cd italy,neutral
395,walking birth experience described beautiful revealed helper discharged hospital came home cold turkey one u parent baby,positive
396,best part rihanna marshmallow superbowl,positive
397,know favoring lover iloveglo lol idef think krazy as like lol,positive
398,rihanna bitch better money gone place th place th,negative
399,love quote passionate something take answer find way,positive
400,look overall energy behind body work shiny lure angler fish sponsored agency sully soul booty dumb justify uncle screwtape line work another tool used remove soul good ground,positive
401,exactly much rihanna made super bowl performance watch,positive
402,aside rihanna baby people became trending topic social medium iconic super bowl halftime show,positive
403,walking birth experience described beautiful revealed helper discharged hospital came home cold turkey one u parent baby said read,positive
404,ppl stuck whole amp situation ppl still close friend moved situation world stuck,positive
405,like rihanna said got like ohh want,positive
406,rihanna ap rocky rent nanny bringing son house hospital,neutral
407,finally drew rihanna super bowl,positive
408,carl jung psychologist talked shadow self everyone one part repress hide world darkest personality trait lie shadow self like,negative
409,carl jung psychologist talked shadow self everyone one part repress hide world darkest personality trait lie shadow self like,negative
410,vogue woman magazine would put rocky front center cover whole arguement stupid business perspective woman buy magazine upset cover magazine men even read,negative
411,rihanna lift black panther wakanda forever love song,positive
412,time forgive clearly providing evolved hate stem insecurity amp lack way mad abt happened decade ago meantime get know new next yt,negative
413,sounding continuous backlash previous incident questioning cancel culture white artist even mentioning,negative
414,rihanna pon de replay ross friend edit,positive
415,turning would suck lot le got shoutout birthday twin queeeeeeen,negative
416,soo gonna talk herpes getting,neutral
417,want discover new music check amazing playlist black artist across age,positive
418,music fashion activism rihanna conquered bob marley reggae music still resonates world usain bolt remains fastest man alive,positive
419,earned royalty streaming music sale halftime show despite paid massive halftime show,neutral
420,umbrella diamond rihanna music never fails get u friday mood let celebrate end week style,positive
421,rihanna bitch better money dropped place th place th,negative
422,malindi holiday villa date k per night bedroom,positive
423,rare bag arsenal,neutral
424,every assist chris paul season high performance sun w febr via,neutral
425,every assist chris paul season high performance sun w febr via,neutral
426,activist group justice myanmar called noting popstar wearing burmese ruby ring worth million new york city sell piece featuring gem,positive
427,social marty brazell local artist originally u call oz home painted awesome portrait recently bought one stunning painting last year,positive
428,arizona deputy seize nearly fentanyl pill newly booked inmate,neutral
429,omg guess got mail today excited try new product worry sure upload complete haul well product test review,positive
430,ppl understand ppl caribbean west africa speak british english american english ppl heard fine lad lad mean young boy child american think revolves around,positive
431,rude boy segment chokehold,negative
432,rihanna earned royalty streaming music sale super bowl halftime show,positive
433,new pod alert week episode recap commercial big game create new idea beverage get wizzy find u wherever listen podcasts,positive
434,heard comment andreas bigert head community growth company halted collection sale since allow fractional ownership profit deal future,positive
435,user could longer trade collection yet quickly sold brought automatic system discovered project description later deleted website without informing team,neutral
436,decision infuriated supporter ethereum nfts received song overall revenue service last week,negative
437,stylist said hid pregnancy reviewed outfit sketch week,negative
438,new mom say away first born even shower sherri promise get love brain real quick,positive
439,rihanna face backlash calling son fine rihanna time today check fan questioned call baby fine rihanna responded mother went say keep lil cougar paw away good,positive
440,rihanna risen place th place th,neutral
